date,ref,outcome,company,keyword,url
2025-04-09,G24-1248246,Not upheld,Shell UK Ltd,environmental,https://www.asa.org.uk/rulings/shell-uk-ltd-g24-1248246-shell-uk-ltd.html
2025-04-09,A24-1246357,Upheld,TotalEnergies SE,environmental,https://www.asa.org.uk/rulings/totalenergies-se-a24-1246357-totalenergies-se.html
2025-04-09,A24-1261852,Upheld,Barclays Bank plc,environmental,https://www.asa.org.uk/rulings/barclays-bank-plc-a24-1261852-barclays-bank-plc.html
2025-04-09,A24-1266486,Upheld,Foreo AB,sustainable,https://www.asa.org.uk/rulings/foreo-ab-a24-1266486-foreo-ab.html
2025-04-02,G24-1266714,Upheld,OceanSaver Ltd,environmental,https://www.asa.org.uk/rulings/oceansaver-ltd-g24-1266714-oceansaver-ltd.html
2025-04-02,A24-1262780,Upheld,Hutchison 3G UK Ltd,climate,https://www.asa.org.uk/rulings/hutchison-3g-uk-ltd-a24-1262780-hutchison-3g-uk-ltd.html
2025-03-19,A24-1271687,Upheld,Bestway Retail Ltd,climate,https://www.asa.org.uk/rulings/bestway-retail-ltd-a24-1271687-bestway-retail-ltd.html
2025-03-12,A24-1270842,Upheld,Shenzhenshi Senyi Dianzi Shangwu Youxiangongsi,sustainable,https://www.asa.org.uk/rulings/shenzhenshi-senyi-dianzi-shangwu-youxiangongsi-a24-1270842-shenzhenshi-senyi-dianzi-shangwu-youxiangongsi.html
2025-03-12,A24-1270884,Upheld,Petchip.Network,climate,https://www.asa.org.uk/rulings/petchip-network-a24-1270884-petchip-network.html
2025-02-19,A24-1253521,Upheld,Floor Design Ltd,environmental,https://www.asa.org.uk/rulings/floor-design-ltd-a24-1253521-floor-design-ltd.html
2025-02-19,G24-1260840,Upheld,EDF Energy Ltd,carbon,https://www.asa.org.uk/rulings/edf-energy-ltd-g24-1260840-edf-energy-ltd.html
2025-02-12,A24-1266482,Upheld,Wilton Bradley Ltd,green,https://www.asa.org.uk/rulings/wilton-bradley-ltd-a24-1266482-wilton-bradley-ltd.html
2025-02-05,G24-1253901,Upheld,ScottishPower Energy Retail Ltd,green,https://www.asa.org.uk/rulings/scottishpower-energy-retail-ltd-g24-1253901-scottishpower-energy-retail-ltd.html
2025-02-05,G24-1266185,Upheld,Banquist Ltd,green,https://www.asa.org.uk/rulings/banquist-ltd-g24-1266185-banquist-ltd.html
