의결일,사건번호,의결번호,조치,사건명,수집키워드
2003-09-02,2003광고0488,의결2003-137,시정명령,(주)프리.플라이트의 부당한 광고행위에 대한 건,환경
2003-07-02,2003광고0346,의결2003-104,시정명령,지오에너지(주)의 부당한 광고행위에 대한 건,환경
2003-03-18,2002전사3229,약식2003-028,시정명령,부림건설산업(주)의 부당한 광고행위에 대한 건,그린
2003-02-25,2002광고1452,의결2003-055,시정명령,(주)태원리츠의 부당한 광고행위에 대한 건,환경
2003-02-25,2002광고1454,의결2003-056,시정명령,자인개발(주)의 부당한 광고행위에 대한 건,환경
2003-02-25,2002광고1455,의결2003-048,시정명령,(주)우현공영의 부당한 광고행위에 대한 건,환경
2003-02-25,2002광고1465,의결2003-048,시정명령,(주)대흥빌딩의 부당한 광고행위에 대한 건,환경
2003-02-25,2002광고1467,의결2003-048,시정명령,동해주택건설(주)의 부당한 광고행위에 대한 건,환경
2002-11-15,2002소기0996,의결2002-334,시정명령,농협중앙회 및 6개 비료제조회사의 부당한 광고행위에 대한 건,환경
2002-06-17,2002광고0215,의결2002-108,시정명령,(주)중외산업의 부당한 광고행위에 대한 건,환경
2001-11-24,2001광고2093,의결2001-164,시정명령,(주)성창에프엔디의 부당한 광고행위에 대한 건,환경
2001-06-21,2001광고0161,의결2001-088,시정명령,(주)살렘의 부당한 광고행위에 대한 건,환경
2001-04-28,2000심일1080,재결2001-018,재결기각,(주)경동보일러의 이의신청에 대한 건,환경
2001-02-20,2000소기1076,의결2001-018,시정명령,농협중앙회 및 7개 비료제조회사의 부당한 표시.광고행위에 대한건,환경
2001-02-12,2000광고1322,의결2001-015,시정명령,(주)두루넷의 부당한 광고행위에 대한 건,환경
2001-01-10,2000광고1329,약식2001-020,시정명령,(주)관악정보통신의 부당한 광고행위에 대한 건,환경
2001-01-10,2000광고1326,약식2001-018,시정명령,(주)데이콤의 부당한 광고행위에 대한 건,환경
2001-01-10,2000광고1330,약식2001-021,시정명령,(주)한국케이블TV경기방송의 부당한 광고행위에 대한 건,환경
2000-10-12,2000심일0771,재결2000-045,일부인용,(주)코멕스산업의 이의신청에 대한 건,환경
2000-10-07,2000소기0784,약식2000-276,시정명령,(주)동해산업환경개발의 부당한 광고행위에 대한 건,환경
2000-07-24,2000심일0558,재결2000-043,재결기각,대한주택공사의 이의신청에 대한 건,환경
2000-07-04,2000심일0299,재결2000-036,재결기각,21세기컨설팅(주)의 이의신청에 대한 건,환경
2000-07-04,2000심일0307,재결2000-036,재결기각,(주)선경파이낸스의 이의신청에 대한 건,환경
2000-06-28,2000부사0467,약식2000-156,시정명령,(주)삼정의 부당한 광고행위에 대한 건,그린
2000-05-31,2000광고0246,약식2000-142,시정명령,(주)스피드로의 부당한 광고행위에 대한 건,환경
2000-05-25,9909광고1340,의결2000-078,시정명령,(주)코멕스산업의 부당한 광고행위에 대한 건,환경
2000-04-11,9912광고1813,약식2000-085,시정명령,그린음료의 부당한 광고행위에 대한 건,그린
2000-03-07,9911광고1597,의결2000-046,시정명령,대한주택공사의 부당한 광고행위에 대한 건,환경
1999-10-22,9905기획0775,의결1999-204,시정명령,신세계리조트개발(주)의 부당한 광고행위에 대한 건,환경
1999-10-22,9901기획0098,의결1999-204,시정명령,신세계대관령리조트(주)의 부당한 광고행위에 대한 건,환경
1999-10-22,9901기획0076,의결1999-203,시정명령,(주)사조마을 및 (주)그린앤블루의 부당한 광고행위에 대한 건,환경
1999-08-30,9906소기0850,약식1999-195,시정명령,한국휴렛팩커드(주)의 부당한 광고행위에 대한 건,환경
1999-08-30,9903기획0377,약식1999-193,시정명령,한국엡손(주)의 부당한 광고행위에 대한 건,환경
1999-08-30,9903부사0365,약식1999-200,시정명령,우주세탁소의 부당한 광고행위에 대한 건,환경
1999-08-23,9904부사0620,약식1999-176,시정명령,그린주유소의 주유소등석유판매업에 있어서의 공급자표시위반행위에 대한 건,그린
1999-08-23,9904부사0618,약식1999-176,시정명령,"진해주유소의 주유소등석유판매업에있어서의공급자표시 위반행위에 대
한 건",그린
1999-08-23,9904부사0617,약식1999-176,시정명령,롯데주유소의 주유소등석유판매업에 있어서의공급자표시 위반행위에 대한 건,그린
1999-07-06,9903심이0381,재결1999-032,재결기각,모토로라반도체통신(주)의 이의신청에 대한 건,환경
1999-06-28,9903광고0276,의결1999-103,시정명령,(주)두산의 부당한 광고행위에 대한 건,그린
1999-06-24,9903광고0275,약식1999-149,시정명령,(주)진로의 부당한 광고행위에 대한 건,그린
1999-05-06,9811광고1920,약식1999-064,시정명령,썬전자의 부당한 광고행위에 대한 건,그린
1999-05-06,9811광고1921,약식1999-064,시정명령,광동건강(주)의 부당한 광고행위에 대한 건,그린
1999-05-06,9811광고1922,약식1999-064,시정명령,(주)옵스의 부당한 광고행위에 대한 건,그린
1999-05-06,9811광고1923,약식1999-064,시정명령,(주)유일씨엠의 부당한 광고행위에 대한 건,그린
1999-05-06,9811광고1931,약식1999-064,시정명령,동양카드(주)의 부당한 광고행위에 대한 건,그린
1999-05-06,9811광고1924,약식1999-064,시정명령,컴앤컴코리아의 부당한 광고행위에 대한 건,그린
1999-05-06,9811광고1925,약식1999-064,시정명령,파랑새의 부당한 광고행위에 대한 건,그린
1999-05-06,9811광고1930,약식1999-064,시정명령,삼성카드(주)의 부당한 광고행위에 대한 건,그린
1999-05-06,9811광고1953,약식1999-064,시정명령,학교법인 건국대학교의 부당한 광고행위에 대한 건,그린
1999-05-06,9811광고1954,약식1999-064,시정명령,서울국제전화(주)의 부당한 광고행위에 대한 건,그린
1999-05-06,9811광고1917,약식1999-064,시정명령,(주)신한전기의 부당한 광고행위에 대한 건,그린
1999-05-06,9811광고1927,약식1999-064,시정명령,황소홈쇼핑(주)의 부당한 광고행위에 대한 건,그린
1999-05-06,9811광고1919,약식1999-064,시정명령,(주)코리아이에스티의 부당한 광고행위에 대한 건,그린
